                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.4019,                 0.2456,                 0.7959,                0.99848,                 0.9985,                0.99449,                0.98024,                0.22333,                0.17717,                0.76994,               0.006535,               0.006535,               0.006535
                     38,                0.39932,                0.24441,                0.79554,                0.99852,                 0.9985,                 0.9945,                0.98079,                0.22231,                0.17638,                0.76982,               0.006436,               0.006436,               0.006436
                     39,                0.39548,                0.24301,                0.79456,                0.99858,                0.99845,                0.99451,                0.98097,                0.22102,                0.17576,                0.76971,               0.006337,               0.006337,               0.006337
                     40,                0.39369,                0.24237,                0.79447,                0.99854,                0.99847,                0.99451,                0.98115,                0.22002,                0.17514,                 0.7696,               0.006238,               0.006238,               0.006238
                     41,                0.39104,                0.24134,                0.79449,                0.99859,                 0.9984,                0.99451,                0.98125,                0.21913,                0.17465,                0.76949,               0.006139,               0.006139,               0.006139
                     42,                0.38933,                 0.2398,                0.79402,                 0.9986,                0.99841,                0.99451,                0.98137,                0.21833,                0.17423,                 0.7694,                0.00604,                0.00604,                0.00604
                     43,                0.38558,                0.23832,                0.79367,                0.99859,                0.99842,                0.99451,                0.98154,                0.21759,                0.17377,                0.76932,               0.005941,               0.005941,               0.005941
                     44,                 0.3837,                  0.238,                0.79345,                0.99857,                0.99846,                0.99452,                0.98167,                0.21694,                 0.1734,                0.76925,               0.005842,               0.005842,               0.005842
                     45,                0.38145,                0.23629,                 0.7934,                0.99858,                0.99845,                0.99452,                 0.9818,                0.21626,                 0.1732,                0.76919,               0.005743,               0.005743,               0.005743
                     46,                0.37855,                0.23509,                0.79323,                 0.9986,                0.99845,                0.99452,                0.98188,                0.21566,                0.17286,                0.76913,               0.005644,               0.005644,               0.005644
                     47,                0.37892,                0.23599,                0.79293,                 0.9986,                0.99845,                0.99453,                0.98197,                0.21498,                 0.1726,                0.76906,               0.005545,               0.005545,               0.005545
                     48,                0.37543,                0.23321,                 0.7924,                 0.9984,                0.99866,                0.99454,                0.98209,                0.21436,                0.17228,                0.76899,               0.005446,               0.005446,               0.005446
                     49,                0.37349,                0.23262,                0.79236,                0.99868,                0.99837,                0.99454,                0.98238,                0.21368,                0.17194,                0.76891,               0.005347,               0.005347,               0.005347
                     50,                0.36987,                0.23098,                0.79179,                0.99869,                0.99837,                0.99454,                0.98247,                0.21301,                 0.1715,                0.76885,               0.005248,               0.005248,               0.005248
                     51,                0.36745,                0.22989,                0.79188,                0.99868,                0.99837,                0.99455,                0.98274,                0.21246,                0.17126,                0.76877,               0.005149,               0.005149,               0.005149
                     52,                0.36639,                0.22906,                0.79172,                0.99843,                0.99864,                0.99455,                0.98286,                0.21179,                0.17069,                0.76871,                0.00505,                0.00505,                0.00505
                     53,                0.36303,                0.22812,                0.79113,                0.99842,                0.99864,                0.99455,                 0.9829,                0.21114,                0.17036,                0.76865,               0.004951,               0.004951,               0.004951
                     54,                0.36267,                0.22705,                0.79121,                0.99843,                0.99865,                0.99456,                0.98298,                0.21059,                0.16992,                 0.7686,               0.004852,               0.004852,               0.004852
                     55,                 0.3593,                 0.2262,                0.79057,                0.99862,                0.99841,                0.99457,                0.98308,                0.20996,                0.16959,                0.76853,               0.004753,               0.004753,               0.004753
                     56,                0.35836,                0.22585,                0.79067,                0.99869,                0.99841,                0.99457,                0.98314,                0.20935,                0.16927,                0.76847,               0.004654,               0.004654,               0.004654
                     57,                0.35587,                0.22484,                0.79005,                0.99871,                 0.9984,                0.99457,                0.98323,                0.20875,                0.16899,                 0.7684,               0.004555,               0.004555,               0.004555
                     58,                0.35351,                0.22333,                0.79009,                0.99873,                 0.9984,                0.99457,                0.98332,                0.20814,                0.16882,                0.76835,               0.004456,               0.004456,               0.004456
                     59,                0.35069,                0.22204,                0.78946,                0.99874,                0.99842,                0.99458,                0.98341,                0.20743,                0.16849,                0.76828,               0.004357,               0.004357,               0.004357
